UTD;ZONA;TURMA;CARTEIRA;DATA_PEDIDO;NOTAS_ESPERADAS_ATENA;NOTAS_GERADAS_TAB4;DEFASAGEM_GERACAO;DIA_SEMANA;FLAG_DEF
PERIPERI;349;EPS;CORTE;2022-08-16;13;13;0;3;N
REMANSO;392;STC;CORTE;2022-08-24;27;27;0;4;S
ALAGOINHAS;1;STC;CORTE;2022-08-16;4;4;0;3;N
REMANSO;394;STC;CORTE;2022-08-02;9;9;0;3;N
LUIS EDUARDO MAGALHAES;319;STC;CORTE;2022-08-12;11;11;0;6;N
IRECE;202;STC;CORTE;2022-08-23;17;16;1;3;N
ILHEUS;186;STC;CORTE;2022-08-11;16;15;1;5;N
CONCEICAO DO COITE;65;EPS;CORTE;2022-08-19;6;6;0;6;N
ALAGOINHAS;2;STC;CORTE;2022-08-04;11;11;0;5;N
VALENCA;497;EPS;DISJUNTOR;2022-08-04;2;2;0;5;N
